theta_obs_over_theta_c,time_s,frequency_hz,reference,candidate,relative
0.5,133352.1432163324,1e+17,6.779824504988176e-28,6.7949886984297906e-28,0.0022366645966216403
0.5,177827.94100389228,1e+17,3.6782272410756656e-28,3.6716369386174543e-28,-0.0017917061742721563
0.5,237137.37056616554,1e+17,2.026935082056553e-28,2.0252461973186883e-28,-0.0008332209318471229
0.5,316227.7660168379,1e+17,1.0788070633478609e-28,1.0785610202450996e-28,-0.0002280696068096555
0.5,421696.5034285822,1e+17,6.034184339463109e-29,6.020195111495605e-29,-0.0023183295670989867
0.5,562341.3251903491,1e+17,3.4966385839027704e-29,3.490511527090134e-29,-0.0017522705494480428
0.5,749894.2093324559,1e+17,1.857439817273489e-29,1.8519926178151927e-29,-0.002932638467012083
0.5,1000000.0,1e+17,1.1493815724475742e-29,1.146087491421588e-29,-0.0028659594906952357
1.0,1000.0,10000000000.0,2.3828771757499574e-26,3.18218833917047e-26,0.33543951469884203
1.0,1333.521432163324,10000000000.0,2.744025036872677e-26,3.175490831668014e-26,0.15723828645786408
1.0,1778.2794100389228,10000000000.0,3.214646664683798e-26,3.1084385575457437e-26,-0.033038812104875914
1.0,2371.373705661655,10000000000.0,3.72638471474597e-26,3.6838497601709654e-26,-0.011414536563196576
1.0,3162.2776601683795,10000000000.0,4.360305095751829e-26,4.3041928312689855e-26,-0.0128688849175973
1.0,4216.965034285822,10000000000.0,4.9814819384865087e-26,4.950021873085258e-26,-0.0063154028840679555
1.0,5623.413251903491,10000000000.0,5.59395234428156e-26,5.428772363160939e-26,-0.029528313963825048
1.0,7498.942093324558,10000000000.0,6.186411714675187e-26,6.419758432425747e-26,0.037719235077261715
1.0,10000.0,10000000000.0,6.634080581274542e-26,7.129450449630204e-26,0.07467046296572
1.0,13335.21432163324,10000000000.0,7.110917048858748e-26,7.424784191102817e-26,0.0441387714253314
1.0,17782.794100389227,10000000000.0,8.071974246188866e-26,8.166469514366233e-26,0.01170658692599047
1.0,23713.737056616552,10000000000.0,9.45725610291768e-26,9.349601322727054e-26,-0.011383299661031132
1.0,31622.776601683792,10000000000.0,1.109767887310822e-25,1.1105350595401973e-25,0.0006912907087572862
1.0,42169.65034285822,10000000000.0,1.2746320391414777e-25,1.2640652385800543e-25,-0.008290079204772427
