theta_obs_over_theta_c,time_s,frequency_hz,uniform,adaptive,relative
0.5,1000.0,1e+17,4.39687772004687e-25,5.093205247129648e-25,0.15836863597729423
0.5,1333.521432163324,1e+17,3.8555676697599366e-25,3.5623185809686737e-25,-0.07605860249614593
0.5,1778.2794100389228,1e+17,3.02127110458661e-25,2.645678556486246e-25,-0.12431606932928818
0.5,2371.373705661655,1e+17,2.274717029011499e-25,2.0495023411848865e-25,-0.09900778204684291
0.5,3162.2776601683795,1e+17,1.7828070427303415e-25,1.541907439355413e-25,-0.13512376695909534
0.5,4216.965034285822,1e+17,1.313368391877175e-25,1.112463781004277e-25,-0.15296897056106895
0.5,5623.413251903491,1e+17,9.64804440393094e-26,8.277251674288637e-26,-0.14207985289576353
0.5,7498.942093324558,1e+17,6.915532684235047e-26,6.181418660211861e-26,-0.10615437126003391
0.5,10000.0,1e+17,4.895475589566036e-26,4.4990291034844073e-26,-0.08098222099740304
0.5,13335.21432163324,1e+17,3.3766301224117217e-26,3.299733719101692e-26,-0.022773120099724542
0.5,17782.794100389227,1e+17,2.302216394245788e-26,2.3602897093970704e-26,0.02522495943319325
0.5,23713.737056616552,1e+17,1.531645015187143e-26,1.5733794559659291e-26,0.02724811582642528
0.5,31622.776601683792,1e+17,9.870272406885997e-27,1.0088958265865727e-26,0.02215601048935234
0.5,42169.65034285822,1e+17,6.217573753895168e-27,6.312170818613867e-27,0.015214466038209196
0.5,56234.13251903491,1e+17,3.765835027236317e-27,3.774859950211762e-27,0.0023965263773300105
0.5,74989.42093324558,1e+17,2.1922324378907137e-27,2.196993821984452e-27,0.0021719339662356063
0.5,100000.0,1e+17,1.244071585757454e-27,1.2417524502936054e-27,-0.001864149531585535
0.5,133352.1432163324,1e+17,6.7820025415361455e-28,6.7949886984297906e-28,0.001914796819097564
0.5,177827.94100389228,1e+17,3.680837648046169e-28,3.6716369386174543e-28,-0.002499623810791718
0.5,237137.37056616554,1e+17,2.028101549195464e-28,2.0252461973186883e-28,-0.0014078939380073319
0.5,316227.7660168379,1e+17,1.0797969997742848e-28,1.0785610202450996e-28,-0.0011446406402718656
0.5,421696.5034285822,1e+17,6.039019424657352e-29,6.020195111495605e-29,-0.003117114193222581
0.5,562341.3251903491,1e+17,3.5000887836025923e-29,3.490511527090134e-29,-0.0027362895928030317
0.5,749894.2093324559,1e+17,1.8593027430685863e-29,1.8519926178151927e-29,-0.003931648721890779
0.5,1000000.0,1e+17,1.1506529701951638e-29,1.146087491421588e-29,-0.00396772866523043
1.0,1000.0,10000000000.0,2.910949140993987e-26,3.18218833917047e-26,0.09317895471161153
1.0,1333.521432163324,10000000000.0,3.1063662934306927e-26,3.175490831668014e-26,0.022252539368427193
1.0,1778.2794100389228,10000000000.0,3.282267266587956e-26,3.1084385575457437e-26,-0.05295994960913519
1.0,2371.373705661655,10000000000.0,3.8947066653480563e-26,3.6838497601709654e-26,-0.05413935458942898
1.0,3162.2776601683795,10000000000.0,4.4059463591590467e-26,4.3041928312689855e-26,-0.023094590717959274
1.0,4216.965034285822,10000000000.0,5.028884923374123e-26,4.950021873085258e-26,-0.015682015295739093
1.0,5623.413251903491,10000000000.0,5.456549856443792e-26,5.428772363160939e-26,-0.005090669748036736
1.0,7498.942093324558,10000000000.0,6.111448884434509e-26,6.419758432425747e-26,0.05044786495334752
1.0,10000.0,10000000000.0,6.754853035364168e-26,7.129450449630204e-26,0.05545604209371824
1.0,13335.21432163324,10000000000.0,7.122977157722445e-26,7.424784191102817e-26,0.04237091130541737
1.0,17782.794100389227,10000000000.0,8.122452005713165e-26,8.166469514366233e-26,0.005419238996070108
1.0,23713.737056616552,10000000000.0,9.462897118604196e-26,9.349601322727054e-26,-0.011972633164784363
1.0,31622.776601683792,10000000000.0,1.118132951763285e-25,1.1105350595401973e-25,-0.0067951599236083515
1.0,42169.65034285822,10000000000.0,1.2809868454538074e-25,1.2640652385800543e-25,-0.013209820954686258
1.0,56234.13251903491,10000000000.0,1.4077078539633233e-25,1.370253236835646e-25,-0.026606811223100046
1.0,74989.42093324558,10000000000.0,1.5109221960004261e-25,1.4646754412941395e-25,-0.030608296594428763
1.0,100000.0,10000000000.0,1.6151790607112896e-25,1.5985180091535556e-25,-0.010315296899897186
1.0,133352.1432163324,10000000000.0,1.6825837053601566e-25,1.671612289590493e-25,-0.006520576500718689
1.0,177827.94100389228,10000000000.0,1.7356063754989964e-25,1.7339268270471777e-25,-0.0009677012458172429
1.0,237137.37056616554,10000000000.0,1.7726683291753268e-25,1.764499175524353e-25,-0.004608393751116546
1.0,316227.7660168379,10000000000.0,1.7940384462849486e-25,1.7888047807990877e-25,-0.0029172538061815745
1.0,421696.5034285822,10000000000.0,1.7201390139555507e-25,1.7169897770532804e-25,-0.0018308037180253534
1.0,562341.3251903491,10000000000.0,1.515426449246075e-25,1.513492330414675e-25,-0.0012762868381782644
1.0,749894.2093324559,10000000000.0,1.3012176203717454e-25,1.3027576910270536e-25,0.0011835611747004204
1.0,1000000.0,10000000000.0,1.3049374128695622e-25,1.3027530213877641e-25,-0.0016739434859137647
1.0,1000.0,100000000000000.0,4.215150271515256e-25,4.647498217890067e-25,0.10256999597297645
1.0,1333.521432163324,100000000000000.0,4.243549577767328e-25,4.306986894925052e-25,0.014949116534441531
1.0,1778.2794100389228,100000000000000.0,4.249571469406285e-25,3.9388125106033006e-25,-0.07312712847406266
1.0,2371.373705661655,100000000000000.0,4.826128073452699e-25,4.489237656085576e-25,-0.06980552779365135
1.0,3162.2776601683795,100000000000000.0,5.14727408293889e-25,5.01503321064771e-25,-0.02569143786795891
1.0,4216.965034285822,100000000000000.0,5.456463717703772e-25,5.39301362799384e-25,-0.01162842694327193
1.0,5623.413251903491,100000000000000.0,5.420007764533871e-25,5.4461814333731e-25,0.004829083273735879
1.0,7498.942093324558,100000000000000.0,5.60479391931914e-25,6.044342721935617e-25,0.07842372243186291
1.0,10000.0,100000000000000.0,5.672117807982262e-25,6.073725450215967e-25,0.07080382598339718
1.0,13335.21432163324,100000000000000.0,5.189213313217433e-25,5.420160997758706e-25,0.04450533647422539
1.0,17782.794100389227,100000000000000.0,4.955453077097816e-25,4.94294350071584e-25,-0.0025244061819069685
1.0,23713.737056616552,100000000000000.0,4.614923983154182e-25,4.455580536919277e-25,-0.034527859357284085
1.0,31622.776601683792,100000000000000.0,4.231214029398492e-25,4.0564087381338854e-25,-0.0413132708603392
1.0,42169.65034285822,100000000000000.0,3.750996992749625e-25,3.613885823818533e-25,-0.03655326015886351
1.0,56234.13251903491,100000000000000.0,3.1687569196902884e-25,3.0795347994390667e-25,-0.02815682064370595
1.0,74989.42093324558,100000000000000.0,2.562882525075679e-25,2.5053882773555014e-25,-0.02243343077868143
1.0,100000.0,100000000000000.0,1.9719723332257467e-25,1.966975306323585e-25,-0.002534024853172001
1.0,133352.1432163324,100000000000000.0,1.4024995787314543e-25,1.3978192392188886e-25,-0.0033371414747939143
1.0,177827.94100389228,100000000000000.0,9.257031735966799e-26,9.260488523141243e-26,0.00037342285011443543
1.0,237137.37056616554,100000000000000.0,5.656322871547265e-26,5.628118234090502e-26,-0.004986390999466961
1.0,316227.7660168379,100000000000000.0,3.2064000004085474e-26,3.1967049587557834e-26,-0.0030236532096833413
1.0,421696.5034285822,100000000000000.0,1.8190785266692674e-26,1.8099102822532927e-26,-0.005040048728826352
1.0,562341.3251903491,100000000000000.0,1.045868015899679e-26,1.041088206586446e-26,-0.00457018403906484
1.0,749894.2093324559,100000000000000.0,5.7745724116375196e-27,5.7584173562636645e-27,-0.0027976193252504666
1.0,1000000.0,100000000000000.0,3.419038694270463e-27,3.400290286877484e-27,-0.005483531796348751
1.0,1000.0,1e+17,2.971339012432475e-25,3.303610876482661e-25,0.11182563236975529
1.0,1333.521432163324,1e+17,2.290927333481239e-25,2.163387214167566e-25,-0.055671830987265025
1.0,1778.2794100389228,1e+17,1.5961888387633314e-25,1.2786605136177528e-25,-0.19892904738739303
1.0,2371.373705661655,1e+17,1.1176101102874938e-25,8.740997351182286e-26,-0.21788490720312526
1.0,3162.2776601683795,1e+17,8.018848223652686e-26,7.842661722033526e-26,-0.021971547123123436
1.0,4216.965034285822,1e+17,7.05221464868727e-26,8.129129348858418e-26,0.15270588798252338
1.0,5623.413251903491,1e+17,5.894174712971491e-26,6.747427420848608e-26,0.14476203190912162
1.0,7498.942093324558,1e+17,4.401352426671081e-26,4.8578101302032605e-26,0.10370851031291228
1.0,10000.0,1e+17,3.106907719039194e-26,3.2679604520663557e-26,0.051836986351486036
1.0,13335.21432163324,1e+17,2.2251141508603524e-26,2.183577896600551e-26,-0.018667021754250834
1.0,17782.794100389227,1e+17,1.6244691727987078e-26,1.511151352224859e-26,-0.06975683039809233
1.0,23713.737056616552,1e+17,1.131354034685076e-26,1.0279483718842699e-26,-0.09139991517296353
1.0,31622.776601683792,1e+17,7.846935711834005e-27,7.278819803393741e-27,-0.0723997149082648
1.0,42169.65034285822,1e+17,5.311092243020191e-27,5.123466396809058e-27,-0.03532716767585986
1.0,56234.13251903491,1e+17,3.4810855154975705e-27,3.45551815795928e-27,-0.007344650806326514
1.0,74989.42093324558,1e+17,2.2176227041022448e-27,2.2139768848724585e-27,-0.0016440214212463111
1.0,100000.0,1e+17,1.3680056083983192e-27,1.3671487083197303e-27,-0.0006263863783366741
1.0,133352.1432163324,1e+17,8.0296706000193855e-28,8.031948569084333e-28,0.00028369396185956575
1.0,177827.94100389228,1e+17,4.537428678765897e-28,4.5495733264956105e-28,0.002676548457179795
1.0,237137.37056616554,1e+17,2.5113568031783722e-28,2.5018320179087596e-28,-0.0037926849970335574
1.0,316227.7660168379,1e+17,1.3357282578831966e-28,1.3332211220004475e-28,-0.0018769804920667488
1.0,421696.5034285822,1e+17,7.215251868223548e-29,7.186416256853134e-29,-0.003996480219548237
1.0,562341.3251903491,1e+17,3.98774633674221e-29,3.9737323648227845e-29,-0.003514258615274546
1.0,749894.2093324559,1e+17,2.1352215265769527e-29,2.1312559644645008e-29,-0.0018572134380873129
1.0,1000000.0,1e+17,1.2328540918448429e-29,1.2274500089084915e-29,-0.00438339214031791
1.5,1000.0,10000000000.0,3.154733442772745e-27,3.0741071447832564e-27,-0.02555724578702434
1.5,1333.521432163324,10000000000.0,6.578966732262055e-27,6.213334110437974e-27,-0.05557599494022136
1.5,1778.2794100389228,10000000000.0,1.0134529789022401e-26,9.499596885546932e-27,-0.06265045509691236
1.5,2371.373705661655,10000000000.0,1.722733888699163e-26,1.662650311236361e-26,-0.034876876723062056
1.5,3162.2776601683795,10000000000.0,2.5615601036889874e-26,2.511359073011558e-26,-0.01959783438426188
1.5,4216.965034285822,10000000000.0,3.0073443245341637e-26,2.9471564282435244e-26,-0.020013636549570113
1.5,5623.413251903491,10000000000.0,3.200456199901858e-26,3.21954275714524e-26,0.0059636989389098005
1.5,7498.942093324558,10000000000.0,3.267283365532467e-26,3.1818360847367116e-26,-0.026152393666605045
1.5,10000.0,10000000000.0,3.32567565185675e-26,3.346054667768962e-26,0.006127782154833561
1.5,13335.21432163324,10000000000.0,3.713392027298063e-26,3.6339253379029724e-26,-0.021400026932494876
1.5,17782.794100389227,10000000000.0,4.7835430134437764e-26,4.643764868226707e-26,-0.02922063098925498
1.5,23713.737056616552,10000000000.0,5.758604991728914e-26,5.665608469205243e-26,-0.01614914074801832
