solver,component,band,frequency_hz,time_s,flux_mjy
fullhide_1d,total,R band,4.560000000000e+14,9.760536373079e+05,7.813175605873e-28
fullhide_1d,total,R band,4.560000000000e+14,1.184906851001e+06,5.978292940546e-28
fullhide_1d,total,R band,4.560000000000e+14,1.438449888288e+06,4.718793410287e-28
fullhide_1d,total,R band,4.560000000000e+14,1.746245352002e+06,3.668234927000e-28
fullhide_1d,total,R band,4.560000000000e+14,2.119902023850e+06,2.772953661387e-28
fullhide_1d,total,R band,4.560000000000e+14,2.573512700017e+06,2.048832012242e-28
fullhide_1d,total,R band,4.560000000000e+14,3.124185713603e+06,1.497810166575e-28
fullhide_1d,total,R band,4.560000000000e+14,3.792690190732e+06,1.092340520844e-28
fullhide_1d,total,R band,4.560000000000e+14,4.604239376759e+06,7.949313000201e-29
fullhide_1d,total,R band,4.560000000000e+14,5.589441576403e+06,5.786781997840e-29
fullhide_1d,total,R band,4.560000000000e+14,6.785454573394e+06,4.219468026213e-29
fullhide_1d,total,R band,4.560000000000e+14,8.237387069571e+06,3.083431086031e-29
fullhide_1d,total,R band,4.560000000000e+14,1.000000000000e+07,2.258406170850e-29
fullhide_1d,total,1 keV,2.417989242000e+17,1.000000000000e-01,3.680800295511e-28
fullhide_1d,total,1 keV,2.417989242000e+17,1.213977189070e-01,6.131481968218e-28
fullhide_1d,total,1 keV,2.417989242000e+17,1.473740615582e-01,1.052408157953e-27
fullhide_1d,total,1 keV,2.417989242000e+17,1.789087489923e-01,1.859703112173e-27
fullhide_1d,total,1 keV,2.417989242000e+17,2.171911402017e-01,3.351659275976e-27
fullhide_1d,total,1 keV,2.417989242000e+17,2.636650898730e-01,6.120544824367e-27
fullhide_1d,total,1 keV,2.417989242000e+17,3.200834046600e-01,1.127675469259e-26
fullhide_1d,total,1 keV,2.417989242000e+17,3.885739518571e-01,2.103141199729e-26
fullhide_1d,total,1 keV,2.417989242000e+17,4.717199138213e-01,3.933966333639e-26
fullhide_1d,total,1 keV,2.417989242000e+17,5.726572150092e-01,7.330996293853e-26
fullhide_1d,total,1 keV,2.417989242000e+17,6.951927961776e-01,1.344873037340e-25
fullhide_1d,total,1 keV,2.417989242000e+17,8.439481965654e-01,2.392755262512e-25
fullhide_1d,total,1 keV,2.417989242000e+17,1.024533859387e+00,4.071224540387e-25
fullhide_1d,total,1 keV,2.417989242000e+17,1.243760734726e+00,6.537124024832e-25
fullhide_1d,total,1 keV,2.417989242000e+17,1.509897160618e+00,9.828137119216e-25
fullhide_1d,total,1 keV,2.417989242000e+17,1.832980710832e+00,1.379518620384e-24
fullhide_1d,total,1 keV,2.417989242000e+17,2.225196770956e+00,1.807819644535e-24
fullhide_1d,total,1 keV,2.417989242000e+17,2.701338121133e+00,2.233199722296e-24
fullhide_1d,total,1 keV,2.417989242000e+17,3.279362859021e+00,2.629982417142e-24
fullhide_1d,total,1 keV,2.417989242000e+17,3.981071705535e+00,2.977851771881e-24
fullhide_1d,total,1 keV,2.417989242000e+17,4.832930238572e+00,3.269635524955e-24
fullhide_1d,total,1 keV,2.417989242000e+17,5.867067065993e+00,3.499430932884e-24
fullhide_1d,total,1 keV,2.417989242000e+17,7.122485584860e+00,3.679102875331e-24
fullhide_1d,total,1 keV,2.417989242000e+17,8.646535029500e+00,3.810965636386e-24
fullhide_1d,total,1 keV,2.417989242000e+17,1.049669629031e+01,3.902668149572e-24
fullhide_1d,total,1 keV,2.417989242000e+17,1.274274985703e+01,3.962501910586e-24
fullhide_1d,total,1 keV,2.417989242000e+17,1.546940765246e+01,3.981165014098e-24
fullhide_1d,total,1 keV,2.417989242000e+17,1.877950801851e+01,3.976161310214e-24
fullhide_1d,total,1 keV,2.417989242000e+17,2.279789435644e+01,3.948188686656e-24
fullhide_1d,total,1 keV,2.417989242000e+17,2.767612370754e+01,3.901696898537e-24
fullhide_1d,total,1 keV,2.417989242000e+17,3.359818286284e+01,3.838559998548e-24
fullhide_1d,total,1 keV,2.417989242000e+17,4.078742758969e+01,3.769034657987e-24
fullhide_1d,total,1 keV,2.417989242000e+17,4.951500669473e+01,3.690452050098e-24
fullhide_1d,total,1 keV,2.417989242000e+17,6.011008864406e+01,3.612163546231e-24
fullhide_1d,total,1 keV,2.417989242000e+17,7.297227644686e+01,3.533580319867e-24
fullhide_1d,total,1 keV,2.417989242000e+17,8.858667904101e+01,3.448324528148e-24
fullhide_1d,total,1 keV,2.417989242000e+17,1.075422076113e+02,3.352360441317e-24
fullhide_1d,total,1 keV,2.417989242000e+17,1.305537869023e+02,3.231683003454e-24
fullhide_1d,total,1 keV,2.417989242000e+17,1.584893192461e+02,3.081342162623e-24
fullhide_1d,total,1 keV,2.417989242000e+17,1.924024182760e+02,2.910209628980e-24
fullhide_1d,total,1 keV,2.417989242000e+17,2.335721469090e+02,2.714301384778e-24
fullhide_1d,total,1 keV,2.417989242000e+17,2.835512583497e+02,2.496869422201e-24
fullhide_1d,total,1 keV,2.417989242000e+17,3.442247595686e+02,2.262794698207e-24
fullhide_1d,total,1 keV,2.417989242000e+17,4.178810060294e+02,2.023519927354e-24
fullhide_1d,total,1 keV,2.417989242000e+17,5.072980090654e+02,1.782521518843e-24
fullhide_1d,total,1 keV,2.417989242000e+17,6.158482110660e+02,1.544860118304e-24
fullhide_1d,total,1 keV,2.417989242000e+17,7.476256801638e+02,1.314995475560e-24
fullhide_1d,total,1 keV,2.417989242000e+17,9.076005216818e+02,1.097023348351e-24
fullhide_1d,total,1 keV,2.417989242000e+17,1.101806330110e+03,9.044071491580e-25
fullhide_1d,total,1 keV,2.417989242000e+17,1.337567751526e+03,7.376451038750e-25
fullhide_1d,total,1 keV,2.417989242000e+17,1.623776739189e+03,5.973235378290e-25
fullhide_1d,total,1 keV,2.417989242000e+17,1.971227921518e+03,4.797629891258e-25
fullhide_1d,total,1 keV,2.417989242000e+17,2.393025731180e+03,3.816219113729e-25
fullhide_1d,total,1 keV,2.417989242000e+17,2.905078650511e+03,3.025066482304e-25
fullhide_1d,total,1 keV,2.417989242000e+17,3.526699214175e+03,2.383474207943e-25
fullhide_1d,total,1 keV,2.417989242000e+17,4.281332398719e+03,1.866026836775e-25
fullhide_1d,total,1 keV,2.417989242000e+17,5.197439870872e+03,1.416470300832e-25
fullhide_1d,total,1 keV,2.417989242000e+17,6.309573444802e+03,8.793302832996e-26
fullhide_1d,total,1 keV,2.417989242000e+17,7.659678234752e+03,6.056757326686e-26
fullhide_1d,total,1 keV,2.417989242000e+17,9.298674652605e+03,4.616889248278e-26
fullhide_1d,total,1 keV,2.417989242000e+17,1.128837891685e+04,3.510178499556e-26
fullhide_1d,total,1 keV,2.417989242000e+17,1.370383450663e+04,2.577600573806e-26
fullhide_1d,total,1 keV,2.417989242000e+17,1.663614249384e+04,1.791505936584e-26
fullhide_1d,total,1 keV,2.417989242000e+17,2.019589750164e+04,1.228008594514e-26
fullhide_1d,total,1 keV,2.417989242000e+17,2.451735887979e+04,9.048697273380e-27
fullhide_1d,total,1 keV,2.417989242000e+17,2.976351441631e+04,6.150928708594e-27
fullhide_1d,total,1 keV,2.417989242000e+17,3.613222756796e+04,3.580527114675e-27
fullhide_1d,total,1 keV,2.417989242000e+17,4.386370005780e+04,2.071193752100e-27
