scenario,solver,band,nu_hz,t_obs_s,flux_density
ISM,fullhide_1d,1keV,2.41798900e+17,4.82552204e+05,2.14909205e-29
ISM,fullhide_1d,1keV,2.41798900e+17,5.42222101e+05,1.69001056e-29
ISM,fullhide_1d,1keV,2.41798900e+17,6.09270466e+05,1.32999008e-29
ISM,fullhide_1d,1keV,2.41798900e+17,6.84609684e+05,1.04983587e-29
ISM,fullhide_1d,1keV,2.41798900e+17,7.69264957e+05,8.26811246e-30
ISM,fullhide_1d,1keV,2.41798900e+17,8.64388262e+05,6.56393480e-30
ISM,fullhide_1d,1keV,2.41798900e+17,9.71274020e+05,5.16635692e-30
ISM,fullhide_1d,1keV,2.41798900e+17,1.09137671e+06,4.12271505e-30
ISM,fullhide_1d,1keV,2.41798900e+17,1.22633068e+06,3.24527035e-30
ISM,fullhide_1d,1keV,2.41798900e+17,1.37797236e+06,2.60138425e-30
ISM,fullhide_1d,1keV,2.41798900e+17,1.54836526e+06,2.04959577e-30
ISM,fullhide_1d,1keV,2.41798900e+17,1.73982805e+06,1.64924173e-30
ISM,fullhide_1d,1keV,2.41798900e+17,1.95496614e+06,1.30165768e-30
ISM,fullhide_1d,1keV,2.41798900e+17,2.19670709e+06,1.05038040e-30
ISM,fullhide_1d,1keV,2.41798900e+17,2.46834047e+06,8.30618615e-31
ISM,fullhide_1d,1keV,2.41798900e+17,2.77356261e+06,6.71679956e-31
ISM,fullhide_1d,1keV,2.41798900e+17,3.11652694e+06,5.32986244e-31
ISM,fullhide_1d,1keV,2.41798900e+17,3.50190046e+06,4.31676667e-31
ISM,fullhide_1d,1keV,2.41798900e+17,3.93492726e+06,3.43841900e-31
ISM,fullhide_1d,1keV,2.41798900e+17,4.42149991e+06,2.78837332e-31
ISM,fullhide_1d,1keV,2.41798900e+17,4.96823959e+06,2.22908780e-31
ISM,fullhide_1d,1keV,2.41798900e+17,5.58258627e+06,1.81027755e-31
ISM,fullhide_1d,1keV,2.41798900e+17,6.27289986e+06,1.45221841e-31
ISM,fullhide_1d,1keV,2.41798900e+17,7.04857404e+06,1.18123700e-31
ISM,fullhide_1d,1keV,2.41798900e+17,7.92016405e+06,9.50767451e-32
ISM,fullhide_1d,1keV,2.41798900e+17,8.89953035e+06,7.74670804e-32
ISM,fullhide_1d,1keV,2.41798900e+17,1.00000000e+07,6.25537735e-32
ISM,fullhide_1d,100MeV,2.41798900e+22,1.00000000e+03,1.83813256e-30
ISM,fullhide_1d,100MeV,2.41798900e+22,1.12365480e+03,1.58845622e-30
ISM,fullhide_1d,100MeV,2.41798900e+22,1.26260011e+03,1.37261397e-30
ISM,fullhide_1d,100MeV,2.41798900e+22,1.41872667e+03,1.18549803e-30
ISM,fullhide_1d,100MeV,2.41798900e+22,1.59415904e+03,1.02378440e-30
ISM,fullhide_1d,100MeV,2.41798900e+22,1.79128445e+03,8.83952531e-31
ISM,fullhide_1d,100MeV,2.41798900e+22,2.01278538e+03,7.63080928e-31
ISM,fullhide_1d,100MeV,2.41798900e+22,2.26167595e+03,6.58598922e-31
ISM,fullhide_1d,100MeV,2.41798900e+22,2.54134304e+03,5.68406668e-31
ISM,fullhide_1d,100MeV,2.41798900e+22,2.85559230e+03,4.90364592e-31
ISM,fullhide_1d,100MeV,2.41798900e+22,3.20870000e+03,4.23043734e-31
ISM,fullhide_1d,100MeV,2.41798900e+22,3.60547115e+03,3.64788230e-31
ISM,fullhide_1d,100MeV,2.41798900e+22,4.05130497e+03,3.14538928e-31
ISM,fullhide_1d,100MeV,2.41798900e+22,4.55226828e+03,2.71015113e-31
ISM,fullhide_1d,100MeV,2.41798900e+22,5.11517810e+03,2.33561150e-31
ISM,fullhide_1d,100MeV,2.41798900e+22,5.74769442e+03,2.01179543e-31
ISM,fullhide_1d,100MeV,2.41798900e+22,6.45842443e+03,1.73301985e-31
ISM,fullhide_1d,100MeV,2.41798900e+22,7.25703961e+03,1.49224526e-31
ISM,fullhide_1d,100MeV,2.41798900e+22,8.15440740e+03,1.28493642e-31
ISM,fullhide_1d,100MeV,2.41798900e+22,9.16273901e+03,1.10584676e-31
ISM,fullhide_1d,100MeV,2.41798900e+22,1.02957557e+04,9.51652526e-32
ISM,fullhide_1d,100MeV,2.41798900e+22,1.15688753e+04,8.18325844e-32
ISM,fullhide_1d,100MeV,2.41798900e+22,1.29994222e+04,7.03223695e-32
ISM,fullhide_1d,100MeV,2.41798900e+22,1.46068632e+04,6.03298078e-32
ISM,fullhide_1d,100MeV,2.41798900e+22,1.64130720e+04,5.16698343e-32
ISM,fullhide_1d,100MeV,2.41798900e+22,1.84426271e+04,4.41067396e-32
ISM,fullhide_1d,100MeV,2.41798900e+22,2.07231465e+04,3.74776376e-32
ISM,fullhide_1d,100MeV,2.41798900e+22,2.32856630e+04,3.16078323e-32
