raw_index,r_cm,rho_g_cm3,proton_equivalent_n_cm3,nH_X033_cm3,nH_ambientnorm_cm3,velocity_cm_s,temperature_K,wind1,shell_mass_g
1222,2.023571777344e+17,1.157499039003e-22,6.920267052637e+01,2.283688127370e+01,4.950808550055e+01,1.800024105264e+08,6.494841382586e+02,1.000000000000e+00,9.859104648953e+27
1223,2.025227050781e+17,1.155607458146e-22,6.908957976568e+01,2.279956132267e+01,4.942717956141e+01,1.800024110627e+08,6.491844629081e+02,1.000000000000e+00,9.859102576866e+27
1224,2.026882324219e+17,1.153720999956e-22,6.897679527067e+01,2.276234243933e+01,4.934649272696e+01,1.800024115992e+08,6.488847624897e+02,1.000000000000e+00,9.859104692301e+27
1225,2.028537597656e+17,1.151838742389e-22,6.886426191568e+01,2.272520643218e+01,4.926598555984e+01,1.800024121359e+08,6.485858404137e+02,1.000000000000e+00,9.859103252962e+27
1226,2.030192871094e+17,1.149961199238e-22,6.875201041853e+01,2.268816343811e+01,4.918568003582e+01,1.800024126731e+08,6.482872623941e+02,1.000000000000e+00,9.859102775415e+27
1227,2.031848144531e+17,1.148088519832e-22,6.864004970706e+01,2.265121640332e+01,4.910558254199e+01,1.800024132111e+08,6.479884872803e+02,1.000000000000e+00,9.859104675460e+27
1228,2.033503417969e+17,1.146219906594e-22,6.852833209703e+01,2.261434959201e+01,4.902565896465e+01,1.800024137499e+08,6.476907971156e+02,1.000000000000e+00,9.859102232839e+27
1229,2.035158691406e+17,1.144356323219e-22,6.841691520427e+01,2.257758201740e+01,4.894595052261e+01,1.800024142899e+08,6.473927943315e+02,1.000000000000e+00,9.859103857040e+27
1230,2.036813964844e+17,1.142497123652e-22,6.830576040349e+01,2.254090093316e+01,4.886642958307e+01,1.800024148284e+08,6.470955379081e+02,1.000000000000e+00,9.859104120636e+27
1231,2.038469238281e+17,1.140642207399e-22,6.819486168653e+01,2.250430435656e+01,4.878709184771e+01,1.800024153650e+08,6.467985985118e+02,1.000000000000e+00,9.859102275811e+27
1232,2.040124511719e+17,1.138792327930e-22,6.808426410062e+01,2.246780715320e+01,4.870796954362e+01,1.800024159001e+08,6.465019385591e+02,1.000000000000e+00,9.859104962612e+27
1233,2.041779785156e+17,1.136946430382e-22,6.797390457933e+01,2.243138851119e+01,4.862901755271e+01,1.800024164330e+08,6.462055987027e+02,1.000000000000e+00,9.859103182679e+27
