raw_index,r_cm,rho_g_cm3,proton_equivalent_n_cm3,nH_X033_cm3,nH_ambientnorm_cm3,velocity_cm_s,temperature_K,wind1,shell_mass_g
1606,2.659196777344e+17,2.395054199041e-20,1.431916062512e+04,4.725323006288e+03,1.024402993602e+04,6.428316332818e+07,6.358396880986e+05,1.000000000000e+00,3.522864240645e+30
1607,2.660852050781e+17,6.066959549330e-20,3.627215130569e+04,1.196980993088e+04,2.594935649842e+04,6.203805638920e+07,1.250853666435e+05,1.000000000000e+00,8.934950776199e+30
1608,2.662507324219e+17,1.303103535022e-19,7.790783539099e+04,2.570958567903e+04,5.573582271268e+04,5.871472199421e+07,3.263568993437e+04,1.000000000000e+00,1.921498966121e+31
1609,2.664162597656e+17,2.190294574769e-19,1.309497707609e+05,4.321342435110e+04,9.368240268472e+04,5.646870407675e+07,1.412969165636e+04,1.000000000000e+00,3.233728775130e+31
1610,2.665817871094e+17,2.611542964058e-19,1.561346845375e+05,5.152444589736e+04,1.116998701479e+05,5.509251683752e+07,1.019378828661e+04,1.000000000000e+00,3.860448250601e+31
1611,2.667473144531e+17,2.690439723758e-19,1.608516357255e+05,5.308103978941e+04,1.150744107681e+05,5.411983026787e+07,8.925442527322e+03,1.000000000000e+00,3.982015883700e+31
1612,2.669128417969e+17,2.653521654918e-19,1.586444382520e+05,5.235266462317e+04,1.134953659075e+05,5.341306685412e+07,8.158018168490e+03,1.000000000000e+00,3.932250574127e+31
1613,2.670783691406e+17,2.496317675686e-19,1.492457823451e+05,4.925110817386e+04,1.067715002432e+05,5.290158907221e+07,7.638367636542e+03,1.000000000000e+00,3.703879874499e+31
1614,2.672438964844e+17,2.171090817057e-19,1.298016477189e+05,4.283454374724e+04,9.286102724796e+04,5.252362268311e+07,7.341001123491e+03,1.000000000000e+00,3.225322831347e+31
1615,2.674094238281e+17,1.675172897519e-19,1.001525134756e+05,3.305032944694e+04,7.164982453033e+04,5.222695391074e+07,7.171987930742e+03,1.000000000000e+00,2.491682284313e+31
1616,2.675749511719e+17,1.086052320019e-19,6.493113025943e+04,2.142727298561e+04,4.645219503929e+04,5.196616616491e+07,7.267116006695e+03,1.000000000000e+00,1.617414258216e+31
1617,2.677404785156e+17,6.607258912337e-20,3.950240528810e+04,1.303579374507e+04,2.826030330341e+04,5.171423886073e+07,7.660229411790e+03,1.000000000000e+00,9.852104412181e+30
1618,2.679060058594e+17,3.926668462372e-20,2.347612695228e+04,7.747121894254e+03,1.679498914616e+04,5.146537748487e+07,8.339245516258e+03,1.000000000000e+00,5.862309504019e+30
1619,2.680715332031e+17,2.277992482999e-20,1.361929107071e+04,4.494366053335e+03,9.743338250637e+03,5.121657092942e+07,9.697774316540e+03,1.000000000000e+00,3.405126833430e+30
1620,2.682370605469e+17,1.292579337443e-20,7.727863177779e+03,2.550194848668e+03,5.528568594710e+03,5.096590460812e+07,1.241844316520e+04,1.000000000000e+00,1.934525156631e+30
1621,2.684025878906e+17,7.190478188387e-21,4.298926186812e+03,1.418645641648e+03,3.075482544220e+03,5.070874140679e+07,1.771586757744e+04,1.000000000000e+00,1.077483878688e+30
1622,2.685681152344e+17,3.934368515313e-21,2.352216277683e+03,7.762313716353e+02,1.682792350433e+03,5.043603282001e+07,2.768856853913e+04,1.000000000000e+00,5.902874483464e+29
1624,2.688991699219e+17,1.146769930172e-21,6.856121601241e+02,2.262520128410e+02,4.904918435296e+02,4.975777407056e+07,7.713990885178e+04,1.000000000000e+00,1.724784456506e+29
1625,2.690646972656e+17,6.229132943475e-22,3.724172722627e+02,1.228976998467e+02,2.664299804737e+02,4.925215882094e+07,1.274076304128e+05,1.000000000000e+00,9.380384689601e+28
1626,2.692302246094e+17,3.463284137078e-22,2.070572009147e+02,6.832887630186e+01,1.481302026124e+02,4.849286948884e+07,1.972148647756e+05,1.000000000000e+00,5.221741406009e+28
1627,2.693957519531e+17,2.001966039035e-22,1.196902904763e+02,3.949779585719e+01,8.562728995019e+01,4.726200900340e+07,2.627487281532e+05,1.000000000000e+00,3.022162428426e+28
1628,2.695612792969e+17,1.217321309147e-22,7.277922714665e+01,2.401714495840e+01,5.206677968979e+01,4.521281782687e+07,2.548406621407e+05,1.000000000000e+00,1.839923862393e+28
1629,2.697268066406e+17,7.949411866979e-23,4.752665114805e+01,1.568379487886e+01,3.400090618896e+01,4.229105482103e+07,1.585454723126e+05,1.000000000000e+00,1.202992251699e+28
1630,2.698923339844e+17,5.958501291125e-23,3.562371870614e+01,1.175582717303e+01,2.548546317847e+01,4.016915612060e+07,6.644926891626e+04,1.000000000000e+00,9.028128788956e+27
1631,2.700578613281e+17,5.162062000583e-23,3.086209697165e+01,1.018449200064e+01,2.207896492978e+01,3.928164836848e+07,2.140380492607e+04,1.000000000000e+00,7.830986484848e+27
1632,2.702233886719e+17,4.861811308782e-23,2.906700695430e+01,9.592112294920e+00,2.079474469111e+01,3.898657166253e+07,6.485172747774e+03,1.000000000000e+00,7.384542275183e+27
1633,2.703889160156e+17,4.745244126724e-23,2.837009403928e+01,9.362131032962e+00,2.029616820669e+01,3.891082130824e+07,2.398526835296e+03,1.000000000000e+00,7.216322598343e+27
1634,2.705544433594e+17,4.691536349295e-23,2.804899471212e+01,9.256168254997e+00,2.006645145122e+01,3.890214059955e+07,1.357504356256e+03,1.000000000000e+00,7.143384664053e+27
