cell_index,radius_cm,rho_g_cm3,proton_equivalent_n_cm3,velocity_cm_s,temperature_k,wind1_tracer
701,2.322348632812e+17,2.066377549008e-21,1.235412211057e+03,4.504844939214e+07,5.677360906629e+03,1.000000000000e+00
702,2.325659179688e+17,2.060486479188e-21,1.231890154018e+03,4.504845244777e+07,5.678665001441e+03,1.000000000000e+00
703,2.328969726562e+17,2.054621426004e-21,1.228383651382e+03,4.504846168807e+07,5.680045091180e+03,1.000000000000e+00
704,2.332280273438e+17,2.048782864973e-21,1.224892987444e+03,4.504847940267e+07,5.681426647045e+03,1.000000000000e+00
705,2.335590820312e+17,2.042969812820e-21,1.221417574339e+03,4.504850664591e+07,5.682764677316e+03,1.000000000000e+00
706,2.338901367188e+17,2.037181088421e-21,1.217956705916e+03,4.504854324875e+07,5.684040366929e+03,1.000000000000e+00
707,2.342211914062e+17,2.031415868501e-21,1.214509889969e+03,4.504858823025e+07,5.685237145107e+03,1.000000000000e+00
708,2.345522460938e+17,2.025674351278e-21,1.211077245006e+03,4.504864032390e+07,5.686317343320e+03,1.000000000000e+00
709,2.348833007812e+17,2.019956607782e-21,1.207658813491e+03,4.504869844316e+07,5.687227321763e+03,1.000000000000e+00
710,2.352143554688e+17,2.014262749896e-21,1.204254662316e+03,4.504876195374e+07,5.687898960474e+03,1.000000000000e+00
711,2.355454101562e+17,2.008594097566e-21,1.200865580630e+03,4.504883069173e+07,5.688252748213e+03,1.000000000000e+00
712,2.358764648438e+17,2.002952165058e-21,1.197492473756e+03,4.504890476620e+07,5.688206907689e+03,1.000000000000e+00
713,2.362075195312e+17,1.997338192976e-21,1.194136083407e+03,4.504898425096e+07,5.687685019486e+03,1.000000000000e+00
714,2.365385742188e+17,1.991751865443e-21,1.190796220732e+03,4.504906881163e+07,5.686626667958e+03,1.000000000000e+00
715,2.368696289062e+17,1.986191073320e-21,1.187471624752e+03,4.504915721745e+07,5.684993273485e+03,1.000000000000e+00
716,2.372006835938e+17,1.980654394656e-21,1.184161445335e+03,4.504924431817e+07,5.682762165442e+03,1.000000000000e+00
717,2.375317382812e+17,1.975140816780e-21,1.180865077042e+03,4.504932618169e+07,5.679927524387e+03,1.000000000000e+00
718,2.378627929688e+17,1.969649248424e-21,1.177581867442e+03,4.504940379329e+07,5.676502389904e+03,1.000000000000e+00
719,2.381938476562e+17,1.964179777635e-21,1.174311869177e+03,4.504947864974e+07,5.672514090640e+03,1.000000000000e+00
720,2.385249023438e+17,1.958732626410e-21,1.171055214970e+03,4.504955058462e+07,5.668003716019e+03,1.000000000000e+00
721,2.388559570312e+17,1.953307796293e-21,1.167811905743e+03,4.504961968016e+07,5.663022012336e+03,1.000000000000e+00
722,2.391870117188e+17,1.947906393477e-21,1.164582602851e+03,4.504968704568e+07,5.657619875176e+03,1.000000000000e+00
723,2.395180664062e+17,1.942530014291e-21,1.161368260680e+03,4.504975136600e+07,5.651844154968e+03,1.000000000000e+00
724,2.398491210938e+17,1.937177679669e-21,1.158168293882e+03,4.504980950570e+07,5.645740717744e+03,1.000000000000e+00
725,2.401801757812e+17,1.931847429808e-21,1.154981530761e+03,4.504986099459e+07,5.639348237488e+03,1.000000000000e+00
726,2.405112304688e+17,1.926538918698e-21,1.151807764452e+03,4.504990716289e+07,5.632691095417e+03,1.000000000000e+00
727,2.408422851562e+17,1.921252857059e-21,1.148647419867e+03,4.504994671777e+07,5.625783012022e+03,1.000000000000e+00
728,2.411733398438e+17,1.915988737085e-21,1.145500193408e+03,4.504997681549e+07,5.618635812576e+03,1.000000000000e+00
729,2.415043945312e+17,1.910745230483e-21,1.142365290937e+03,4.504999810944e+07,5.611397766605e+03,1.000000000000e+00
730,2.418354492188e+17,1.905522084535e-21,1.139242561362e+03,4.505001448002e+07,5.604303469539e+03,1.000000000000e+00
731,2.421665039062e+17,1.900319898209e-21,1.136132362786e+03,4.505002783681e+07,5.597384153607e+03,1.000000000000e+00
732,2.424975585938e+17,1.895138483300e-21,1.133034582686e+03,4.505003696324e+07,5.590665505715e+03,1.000000000000e+00
733,2.428286132812e+17,1.889977175360e-21,1.129948823814e+03,4.505004079863e+07,5.584163802314e+03,1.000000000000e+00
734,2.431596679688e+17,1.884835676812e-21,1.126874908260e+03,4.505004117312e+07,5.577896472650e+03,1.000000000000e+00
735,2.434907226562e+17,1.879714370096e-21,1.123813064670e+03,4.505004042752e+07,5.571880387501e+03,1.000000000000e+00
736,2.438217773438e+17,1.874613968318e-21,1.120763719384e+03,4.505003816611e+07,5.566137068554e+03,1.000000000000e+00
737,2.441528320312e+17,1.869534784292e-21,1.117727059423e+03,4.505003397853e+07,5.560690687506e+03,1.000000000000e+00
738,2.444838867188e+17,1.864476616599e-21,1.114702964365e+03,4.505002767694e+07,5.555576982499e+03,1.000000000000e+00
739,2.448149414062e+17,1.859439191478e-21,1.111691270539e+03,4.505001922184e+07,5.550828979396e+03,1.000000000000e+00
