shell_index,tobs_s,radius_cm,gamma,fullhide_gamma2_dndgamma,dg_gamma2_dndgamma,dg_over_fullhide
16,3.5644313427e-01,1.5358600779e+14,1.3564650208e+01,1.2355027016e+46,3.1050324068e+46,2.5131733040e+00
16,3.5644313427e-01,1.5358600779e+14,1.5965559275e+01,1.1287479806e+46,2.8466849563e+46,2.5219845398e+00
16,3.5644313427e-01,1.5358600779e+14,1.8791423225e+01,1.0353605329e+46,2.6061260454e+46,2.5171193634e+00
16,3.5644313427e-01,1.5358600779e+14,2.2117458008e+01,9.5287823700e+45,2.4006310542e+46,2.5193471327e+00
16,3.5644313427e-01,1.5358600779e+14,2.6032192606e+01,8.7941993423e+45,2.2137129783e+46,2.5172422095e+00
16,3.5644313427e-01,1.5358600779e+14,3.0639825409e+01,8.1352681359e+45,2.0493515029e+46,2.5190952144e+00
16,3.5644313427e-01,1.5358600779e+14,3.6062997662e+01,7.5405202427e+45,1.9035218507e+46,2.5243906115e+00
16,3.5644313427e-01,1.5358600779e+14,4.2446057804e+01,7.0008243456e+45,1.7675872650e+46,2.5248273314e+00
16,3.5644313427e-01,1.5358600779e+14,4.9958903582e+01,6.5088226737e+45,1.6408452499e+46,2.5209555278e+00
16,3.5644313427e-01,1.5358600779e+14,5.8801504221e+01,6.0585190319e+45,1.5271712037e+46,2.5207005139e+00
16,3.5644313427e-01,1.5358600779e+14,6.9209222995e+01,5.6449737682e+45,1.4252704927e+46,2.5248487437e+00
16,3.5644313427e-01,1.5358600779e+14,8.1459081891e+01,5.2640752838e+45,1.3289498483e+46,2.5245646703e+00
16,3.5644313427e-01,1.5358600779e+14,9.5877135089e+01,4.9123670815e+45,1.2366971204e+46,2.5175177259e+00
16,3.5644313427e-01,1.5358600779e+14,1.1284714754e+02,4.5869156098e+45,1.1542062239e+46,2.5163014150e+00
16,3.5644313427e-01,1.5358600779e+14,1.3282080964e+02,4.2852084032e+45,1.0821113122e+46,2.5252244707e+00
16,3.5644313427e-01,1.5358600779e+14,1.5632975984e+02,4.0050749487e+45,1.0099888016e+46,2.5217725373e+00
16,3.5644313427e-01,1.5358600779e+14,1.8399973526e+02,3.7446247517e+45,9.3941911223e+45,2.5087136216e+00
16,3.5644313427e-01,1.5358600779e+14,2.1656722693e+02,3.5021985228e+45,8.8586427035e+45,2.5294518988e+00
16,3.5644313427e-01,1.5358600779e+14,2.5489908296e+02,3.2763294499e+45,8.2577120589e+45,2.5204156619e+00
16,3.5644313427e-01,1.5358600779e+14,3.0001558136e+02,3.0657122708e+45,7.7417380474e+45,2.5252657013e+00
16,3.5644313427e-01,1.5358600779e+14,3.5311758683e+02,2.8691784182e+45,7.2376830636e+45,2.5225629113e+00
16,3.5644313427e-01,1.5358600779e+14,4.1561851410e+02,2.6856759172e+45,6.7710254736e+45,2.5211625238e+00
16,3.5644313427e-01,1.5358600779e+14,4.8918194873e+02,2.5142530213e+45,6.3422712697e+45,2.5225270552e+00
16,3.5644313427e-01,1.5358600779e+14,5.7576592681e+02,2.3540448056e+45,5.9380659066e+45,2.5224948533e+00
16,3.5644313427e-01,1.5358600779e+14,6.7767505185e+02,2.2042621088e+45,5.5548651391e+45,2.5200565382e+00
16,3.5644313427e-01,1.5358600779e+14,7.9762183644e+02,2.0641823504e+45,5.1992755189e+45,2.5188063050e+00
16,3.5644313427e-01,1.5358600779e+14,9.3879890108e+02,1.9331418514e+45,4.8726216485e+45,2.5205711857e+00
16,3.5644313427e-01,1.5358600779e+14,1.1049639521e+03,1.8105293671e+45,4.5659463810e+45,2.5218847393e+00
16,3.5644313427e-01,1.5358600779e+14,1.3005398004e+03,1.6957806005e+45,4.2726076418e+45,2.5195521405e+00
16,3.5644313427e-01,1.5358600779e+14,1.5307320834e+03,1.5883735149e+45,3.9987148819e+45,2.5174902781e+00
16,3.5644313427e-01,1.5358600779e+14,1.8016678231e+03,1.4878242990e+45,3.7511140898e+45,2.5212077073e+00
16,3.5644313427e-01,1.5358600779e+14,2.1205585093e+03,1.3936838696e+45,3.5182306900e+45,2.5244108558e+00
16,3.5644313427e-01,1.5358600779e+14,2.4958920471e+03,1.3055348187e+45,3.2867894033e+45,2.5175808077e+00
16,3.5644313427e-01,1.5358600779e+14,2.9376586798e+03,1.2229887306e+45,3.0768673693e+45,2.5158591345e+00
16,3.5644313427e-01,1.5358600779e+14,3.4576168986e+03,1.1456838093e+45,2.8901657672e+45,2.5226556783e+00
16,3.5644313427e-01,1.5358600779e+14,4.0696064181e+03,1.0732827667e+45,2.7104501718e+45,2.5253831104e+00
16,3.5644313427e-01,1.5358600779e+14,4.7899165476e+03,1.0054709327e+45,2.5365147888e+45,2.5227131946e+00
16,3.5644313427e-01,1.5358600779e+14,5.6377197636e+03,9.4195455538e+44,2.3742097874e+45,2.5205141520e+00
16,3.5644313427e-01,1.5358600779e+14,6.6355820225e+03,8.8245926359e+44,2.2247624392e+45,2.5210936425e+00
16,3.5644313427e-01,1.5358600779e+14,7.8100633987e+03,8.2672867169e+44,2.0846989827e+45,2.5216241484e+00
16,3.5644313427e-01,1.5358600779e+14,9.1924250329e+03,7.7452310705e+44,1.9516933231e+45,2.5198645532e+00
16,3.5644313427e-01,1.5358600779e+14,1.0819461209e+04,7.2561844617e+44,1.8269496989e+45,2.5177828768e+00
16,3.5644313427e-01,1.5358600779e+14,1.2734478709e+04,6.7980504652e+44,1.7121532404e+45,2.5185944840e+00
16,3.5644313427e-01,1.5358600779e+14,1.4988449502e+04,6.3688676350e+44,1.6058201291e+45,2.5213589308e+00
16,3.5644313427e-01,1.5358600779e+14,1.7641367474e+04,5.9668004349e+44,1.5043514378e+45,2.5212028695e+00
16,3.5644313427e-01,1.5358600779e+14,2.0763845273e+04,5.5901308545e+44,1.4072405483e+45,2.5173660240e+00
16,3.5644313427e-01,1.5358600779e+14,2.4438993811e+04,5.2372506427e+44,1.3187110295e+45,2.5179452340e+00
16,3.5644313427e-01,1.5358600779e+14,2.8764634423e+04,4.9066541022e+44,1.2393767318e+45,2.5259101334e+00
16,3.5644313427e-01,1.5358600779e+14,3.3855902575e+04,4.5969313963e+44,1.1590120987e+45,2.5212734297e+00
16,3.5644313427e-01,1.5358600779e+14,3.9848312421e+04,4.3067623229e+44,1.0784132540e+45,2.5039999265e+00
16,3.5644313427e-01,1.5358600779e+14,4.6901363782e+04,4.0349105294e+44,1.0165201307e+45,2.5193126919e+00
16,3.5644313427e-01,1.5358600779e+14,5.5202787544e+04,3.7802180976e+44,9.5441482613e+44,2.5247612743e+00
16,3.5644313427e-01,1.5358600779e+14,6.4973542493e+04,3.5416004399e+44,8.9390041798e+44,2.5240013185e+00
16,3.5644313427e-01,1.5358600779e+14,7.6473696562e+04,3.3180416819e+44,8.3658867678e+44,2.5213326323e+00
16,3.5644313427e-01,1.5358600779e+14,9.0009349060e+04,3.1085902473e+44,7.8343172318e+44,2.5202154702e+00
16,3.5644313427e-01,1.5358600779e+14,1.0594077810e+05,2.9123547459e+44,7.3421257537e+44,2.5210272767e+00
16,3.5644313427e-01,1.5358600779e+14,1.2469203013e+05,2.7285001350e+44,6.8783358233e+44,2.5209219289e+00
16,3.5644313427e-01,1.5358600779e+14,1.4676220674e+05,2.5562441302e+44,6.4387283351e+44,2.5188237144e+00
16,3.5644313427e-01,1.5358600779e+14,1.7273874926e+05,2.3948538482e+44,6.0297062154e+44,2.5177762809e+00
16,3.5644313427e-01,1.5358600779e+14,2.0331307466e+05,2.2436426657e+44,5.6542741908e+44,2.5201313370e+00
16,3.5644313427e-01,1.5358600779e+14,2.3929897897e+05,2.1019672793e+44,5.3012137458e+44,2.5220248659e+00
16,3.5644313427e-01,1.5358600779e+14,2.8165429809e+05,1.9692249537e+44,4.9595245213e+44,2.5185159836e+00
16,3.5644313427e-01,1.5358600779e+14,3.3150640247e+05,1.8448509447e+44,4.6418898958e+44,2.5161327581e+00
16,3.5644313427e-01,1.5358600779e+14,3.9018220430e+05,1.7283160858e+44,4.3651131148e+44,2.5256451355e+00
16,3.5644313427e-01,1.5358600779e+14,4.5924347590e+05,1.6191245281e+44,4.0946769784e+44,2.5289450609e+00
16,3.5644313427e-01,1.5358600779e+14,5.4052841937e+05,1.5168116222e+44,3.8144679570e+44,2.5147934662e+00
16,3.5644313427e-01,1.5358600779e+14,6.3620059397e+05,1.4209419343e+44,3.5882689365e+44,2.5252748545e+00
16,3.5644313427e-01,1.5358600779e+14,7.4880650353e+05,1.3311073863e+44,3.3586768846e+44,2.5232200792e+00
16,3.5644313427e-01,1.5358600779e+14,8.8134337667e+05,1.2469255124e+44,3.1471791367e+44,2.5239511946e+00
16,3.5644313427e-01,1.5358600779e+14,1.0373389440e+06,1.1680378250e+44,2.9454743410e+44,2.5217285588e+00
16,3.5644313427e-01,1.5358600779e+14,1.2209453354e+06,1.0941082810e+44,2.7564873328e+44,2.5193917099e+00
16,3.5644313427e-01,1.5358600779e+14,1.4370495977e+06,1.0248218442e+44,2.5822526889e+44,2.5197088679e+00
16,3.5644313427e-01,1.5358600779e+14,1.6914037724e+06,9.5988313489e+43,2.4194505450e+44,2.5205678244e+00
16,3.5644313427e-01,1.5358600779e+14,1.9907779982e+06,8.9901516222e+43,2.2646131703e+44,2.5189933000e+00
16,3.5644313427e-01,1.5358600779e+14,2.3431407110e+06,8.4195813303e+43,2.1189893743e+44,2.5167395993e+00
16,3.5644313427e-01,1.5358600779e+14,2.7578707404e+06,7.8846833139e+43,1.9852033695e+44,2.5177972157e+00
16,3.5644313427e-01,1.5358600779e+14,3.2460069448e+06,7.3831706392e+43,1.8609447455e+44,2.5205224645e+00
16,3.5644313427e-01,1.5358600779e+14,3.8205420331e+06,6.9128966518e+43,1.7411037770e+44,2.5186312839e+00
16,3.5644313427e-01,1.5358600779e+14,4.4967683912e+06,6.4718455826e+43,1.6275743753e+44,2.5148535368e+00
16,3.5644313427e-01,1.5358600779e+14,5.2926851187e+06,6.0581236493e+43,1.5270549846e+44,2.5206731870e+00
16,3.5644313427e-01,1.5358600779e+14,6.2294771108e+06,5.6699505990e+43,1.4308392334e+44,2.5235479718e+00
16,3.5644313427e-01,1.5358600779e+14,7.3320789361e+06,5.3056516253e+43,1.3319402362e+44,2.5104178153e+00
16,3.5644313427e-01,1.5358600779e+14,8.6298385191e+06,4.9636495733e+43,1.2511787253e+44,2.5206830312e+00
16,3.5644313427e-01,1.5358600779e+14,1.0157298294e+07,4.6424572475e+43,1.1694312490e+44,2.5189919619e+00
