scenario,solver,t_obs_s,nearest_track_time_s,nearest_radius_cm,gamma_e,dnde,gamma2_dnde
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,2.92376863e+09,3.54760371e+18,3.03264172e+37
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,3.53516149e+09,9.95240596e+15,1.24378867e+35
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,4.27440345e+09,9.33966595e+12,1.70640599e+32
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,5.16822921e+09,2.31723741e+09,6.18947856e+28
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,6.24896397e+09,1.14240198e+05,4.46102841e+24
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,7.55569251e+09,7.91901508e-01,4.52084608e+19
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,9.13567266e+09,5.08316923e-07,4.24243921e+13
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.10460444e+10,1.82641097e-14,2.22849711e+06
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.33558963e+10,2.00300880e-23,3.57296643e-03
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.61487642e+10,3.22656744e-34,8.41432600e-14
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.95256522e+10,3.15625975e-47,1.20332747e-26
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,2.36086853e+10,3.27073207e-57,1.82300800e-36
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,3.00000000e+00,1.40454147e+41,1.26408733e+42
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,3.62733369e+00,1.71387215e+41,2.25503580e+42
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,4.38584989e+00,2.10669202e+41,4.05236521e+42
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,5.30298036e+00,2.58221193e+41,7.26159327e+42
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,6.41189310e+00,3.17044015e+41,1.30344318e+43
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,7.75269195e+00,3.91960949e+41,2.35585119e+43
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,9.37386689e+00,4.90815351e+41,4.31276408e+43
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,1.13340477e+01,6.26309466e+41,8.04561134e+43
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,1.37041244e+01,8.18959021e+41,1.53802981e+44
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,1.65698107e+01,1.10192929e+42,3.02544191e+44
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,2.00347441e+01,1.52914416e+42,6.13784663e+44
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,2.42242341e+01,2.18943454e+42,1.28478978e+45
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,2.92897935e+01,3.23293351e+42,2.77350780e+45
