scenario,solver,component,band,frequency_hz,time_s,flux_mjy
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,4.078742758969e+01,6.125189549488e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,4.951500669473e+01,6.950282005777e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,6.011008864406e+01,7.665543337191e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,7.297227644686e+01,8.396212547066e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,8.858667904101e+01,9.146063001920e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.075422076113e+02,9.822676063342e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.305537869023e+02,1.051410480335e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.584893192461e+02,1.120839075470e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.924024182760e+02,1.193212082818e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,2.335721469090e+02,1.269102240965e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,2.835512583497e+02,1.327693729229e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,3.442247595686e+02,1.400036212959e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,4.178810060294e+02,1.479484490261e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,5.072980090654e+02,1.553921589624e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,6.158482110660e+02,1.629414581458e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,7.476256801638e+02,1.711042258077e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,9.076005216818e+02,1.797924061189e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.101806330110e+03,1.886120345705e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.337567751526e+03,1.980401805550e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.623776739189e+03,2.075742040915e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.971227921518e+03,2.171913519471e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,2.393025731180e+03,2.265128410661e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,2.905078650511e+03,2.341205974484e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,3.526699214175e+03,2.398423149842e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,4.281332398719e+03,2.432017719697e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,5.197439870872e+03,2.433845013624e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,6.309573444802e+03,2.402360543774e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,7.659678234752e+03,2.341251111190e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,9.298674652605e+03,2.244465986698e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.128837891685e+04,2.110029520421e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.370383450663e+04,1.939837645760e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.663614249384e+04,1.745364075154e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,2.019589750164e+04,1.541297972716e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,2.451735887979e+04,1.330625756808e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,2.976351441631e+04,1.106706769042e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,3.613222756796e+04,8.768486957132e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,4.386370005780e+04,6.283849713741e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,5.324953129838e+04,3.840960776301e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,6.464371632490e+04,2.727274463743e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,7.847599703515e+04,1.972208780922e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,9.526807029020e+04,1.386516062616e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.156532641790e+05,9.544364696475e-26
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.404004245548e+05,6.485870245769e-26
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.704429127453e+05,4.381023033867e-26
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,2.069138081115e+05,2.954138542837e-26
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,2.511886431510e+05,1.993585814648e-26
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,3.049372829387e+05,1.348872570868e-26
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,3.701869055846e+05,9.160990891513e-27
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,4.493984590722e+05,6.236417642845e-27
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,5.455594781169e+05,4.265924499298e-27
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,6.622967617148e+05,2.933960314842e-27
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,8.040131611168e+05,2.024835245931e-27
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,9.760536373079e+05,1.403253948613e-27
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.184906851001e+06,9.775238247783e-28
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.438449888288e+06,6.844698080138e-28
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.746245352002e+06,4.805274458483e-28
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,2.119902023850e+06,3.381969291624e-28
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,2.573512700017e+06,2.386290833793e-28
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,3.124185713603e+06,1.690802980117e-28
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,3.792690190732e+06,1.205817476630e-28
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,4.604239376759e+06,8.658366446539e-29
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,5.589441576403e+06,6.236791182857e-29
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,6.785454573394e+06,4.502945292191e-29
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,8.237387069571e+06,3.258776903982e-29
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.000000000000e+07,2.364697206379e-29
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.000000000000e-01,1.834604948472e-29
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.213977189070e-01,2.902702783001e-29
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.473740615582e-01,4.706826439917e-29
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.789087489923e-01,7.818909590323e-29
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,2.171911402017e-01,1.320967320072e-28
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,2.636650898730e-01,2.259841155535e-28
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,3.200834046600e-01,3.906653900495e-28
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,3.885739518571e-01,6.852474974503e-28
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,4.717199138213e-01,1.214805756599e-27
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,5.726572150092e-01,2.175292333673e-27
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,6.951927961776e-01,3.919593130549e-27
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,8.439481965654e-01,7.077826824104e-27
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.024533859387e+00,1.276281167200e-26
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.243760734726e+00,2.287836832500e-26
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.509897160618e+00,4.053118892885e-26
