scenario,solver,component,band,frequency_hz,time_s,flux_mjy
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.546940765246e+01,3.983538495978e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.877950801851e+01,3.982174200434e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,2.279789435644e+01,3.960824567874e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,2.767612370754e+01,3.922780320884e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,3.359818286284e+01,3.870128364898e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,4.078742758969e+01,3.803951680949e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,4.951500669473e+01,3.700935764814e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,6.011008864406e+01,3.529440628890e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,7.297227644686e+01,3.345940603237e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,8.858667904101e+01,3.210014082294e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.075422076113e+02,3.065947970233e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.305537869023e+02,2.832363237153e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.584893192461e+02,2.573393283237e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.924024182760e+02,2.317787882039e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,2.335721469090e+02,2.102347340474e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,2.835512583497e+02,1.922504861000e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,3.442247595686e+02,1.747577918405e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,4.178810060294e+02,1.576249414724e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,5.072980090654e+02,1.423633968579e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,6.158482110660e+02,1.270728329939e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,7.476256801638e+02,1.111550276518e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,9.076005216818e+02,9.667667781713e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.101806330110e+03,8.194580989698e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.337567751526e+03,6.858856313329e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.623776739189e+03,5.661681540734e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.971227921518e+03,4.591291636980e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,2.393025731180e+03,3.704965141137e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,2.905078650511e+03,2.945954865321e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,3.526699214175e+03,2.331301977558e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,4.281332398719e+03,1.828978575704e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,5.197439870872e+03,1.427754686422e-25
